   ID  , Start   ,End ,     64-bit S-E ,     k     ,     l      ,intv 
id-0000,0,20,20,5587312802,3829076116,1
id-0000,20,40,85899345960,4951699706,2558390922,2
id-0000,40,60,171798691900,3477113832,2635101594,1
id-0000,0,76,76,5587312802,4023547295,1
id-0000,19,41,81604378665,2813221064,2469152761,2
id-0000,19,42,81604378666,2813221064,5026932684,2
id-0001,0,20,20,4716995402,4585087515,1
id-0001,20,40,85899345960,3661893854,4574284389,1
id-0001,40,60,171798691900,4423257615,1601236025,1
id-0001,0,76,76,4716995402,4394753235,1
id-0001,30,50,128849018930,5311543994,3225323743,2
id-0001,30,51,128849018931,5311543994,953325168,2
id-0002,0,20,20,4984484328,1611313958,1
id-0002,20,40,85899345960,4166013380,3750705283,1
id-0002,40,60,171798691900,1544527819,4784500745,2
id-0002,0,76,76,4984484328,3195017829,1
id-0002,34,53,146028888117,4989226985,5424114114,2
id-0002,35,54,150323855414,2346660959,2944522187,2
id-0002,36,60,154618822716,2086894764,4784500745,2
id-0003,0,20,20,2561193686,5828894921,2
id-0003,20,40,85899345960,1071665782,2117300608,1
id-0003,40,60,171798691900,3642353636,2133860767,3
id-0003,0,34,34,2561193686,3873945994,2
id-0003,0,76,76,2561193686,2157326767,1
id-0003,10,29,42949672989,5163767530,197398003,3
id-0003,32,51,137438953523,2379034128,2574147879,6
id-0003,35,55,150323855415,5056454581,5451738863,3
id-0003,35,76,150323855436,5056454581,2157326765,3
id-0004,0,20,20,3588365616,4595705874,1
id-0004,20,40,85899345960,5483403940,5022753050,1
id-0004,40,60,171798691900,3319248746,4395589031,1
id-0004,0,76,76,3588365616,3950385079,1
id-0004,65535,0,281470681743360,0,0,0
id-0005,0,20,20,5077103671,375962439,19
id-0005,0,35,35,5077103672,4927992571,2
id-0005,0,76,76,5077103673,2543225684,1
id-0005,0,19,19,5077103223,1101336129,467
id-0005,2,24,8589934616,3626303622,967824161,28
id-0005,0,24,24,5077103672,967824172,17
id-0005,2,25,8589934617,3626303622,3333550841,20
id-0005,0,25,25,5077103672,3333550847,14
id-0005,3,35,12884901923,2389317236,4927992569,10
id-0005,2,35,8589934627,3626303622,4927992569,4
id-0005,12,36,51539607588,2755926984,2807012528,5
id-0005,3,36,12884901924,2389317242,2807012528,3
id-0005,18,40,77309411368,6023411138,5245093259,8
id-0005,14,42,60129542186,1203337627,2554083757,2
id-0005,20,43,85899345963,4236680573,783280096,34
id-0005,20,48,85899345968,4236680573,3880996891,2
id-0005,26,53,111669149749,303243745,2671805410,2
id-0005,36,56,154618822712,5829748679,1193991941,14
id-0005,26,56,111669149752,303243745,1193991942,2
id-0005,37,71,158913790023,4931969434,2042972804,47
id-0005,37,72,158913790024,4931969434,3553511650,43
id-0005,36,72,154618822728,5829748690,3553511650,2
id-0006,0,20,20,1641513798,2657933339,1
id-0006,53,73,227633266761,5203403278,245333159,1
id-0006,0,37,37,1641513798,3911354643,1
id-0006,38,68,163208757316,3628260390,2638915257,1
id-0006,38,76,163208757324,3628260390,3143619995,1
id-0006,40,59,171798691899,2286266334,4870552470,2
id-0006,40,59,171798691899,2286266334,4870552470,2
id-0007,0,20,20,661749724,5019699045,3
id-0007,20,40,85899345960,1519355111,687289849,1
id-0007,40,60,171798691900,2463713867,4500705689,1
id-0007,0,21,21,661749724,5858560337,2
id-0007,0,76,76,661749725,1902305615,1
id-0007,24,43,103079215147,2338103516,3971414762,2
id-0007,30,49,128849018929,3737692215,5168540266,2
id-0008,0,71,71,3705462472,1234977749,5
id-0008,0,75,75,3705462476,1955151572,1
id-0008,1,44,4294967340,2726839698,1904309033,19
id-0008,2,55,8589934647,4569297641,737324212,10
id-0008,3,57,12884901945,596090075,976984301,10
id-0008,5,68,21474836548,6254178925,4927777782,8
id-0008,0,68,68,3705462472,4927777784,6
id-0008,10,71,42949673031,4350207730,1234977748,7
id-0008,5,71,21474836551,6254178926,1234977748,6
id-0008,14,74,60129542218,6195823064,621578770,71
id-0008,13,74,55834574922,6240312039,621578770,69
id-0008,14,75,60129542219,6195823067,1955151571,68
id-0008,13,75,55834574923,6240312042,1955151571,66
id-0008,1,44,4294967340,2726839698,1904309033,19
id-0008,2,55,8589934647,4569297641,737324212,10
id-0008,3,57,12884901945,596090075,976984301,10
id-0008,5,71,21474836551,6254178926,1234977748,6
id-0008,0,71,71,3705462472,1234977749,5
id-0008,10,75,42949673035,4350207734,1955151571,3
id-0008,5,75,21474836555,6254178930,1955151571,2
id-0009,0,20,20,115911916,4209754436,1
id-0009,20,40,85899345960,4938652863,6192164871,1
id-0009,40,60,171798691900,4802356586,4564545757,1
id-0009,0,63,63,115911916,176821766,1
id-0009,22,41,94489280553,1323977983,1811134934,2
id-0009,23,42,98784247850,4348187654,4844258381,2
id-0010,0,20,20,1058016225,2537970484,1
id-0010,20,40,85899345960,2133866362,5599615237,1
id-0010,40,60,171798691900,3838289828,2410103336,1
id-0010,0,76,76,1058016225,4248132073,1
id-0010,23,43,98784247851,4087737021,5059180340,2
id-0010,23,44,98784247852,4087737021,2846066727,2
id-0010,28,47,120259084335,1029159479,5599719001,2
id-0010,30,49,128849018929,1428381147,6174744398,2
id-0011,40,60,171798691900,4418622064,5073304280,1
id-0011,0,46,46,3705443828,3793262162,3
id-0011,0,76,76,3705443830,902751286,1
id-0011,1,42,4294967338,2726817172,708588154,342
id-0011,1,43,4294967339,2726817181,262950616,333
id-0011,3,44,12884901932,596021297,104196203,7
id-0011,0,44,44,3705443828,104196203,6
id-0011,5,46,21474836526,6253501989,3793262160,6
id-0011,3,46,12884901934,596021297,3793262162,4
id-0011,19,49,81604378673,4158465332,2753534310,6
id-0011,15,49,64424509489,6230405939,2753534310,4
id-0011,1,42,4294967338,2726817172,708588154,342
id-0011,1,43,4294967339,2726817181,262950616,333
id-0011,3,46,12884901934,596021297,3793262162,4
id-0011,0,46,46,3705443828,3793262162,3
id-0011,13,49,55834574897,6261422806,2753534310,3
id-0011,3,49,12884901937,596021299,2753534311,2
id-0011,15,50,64424509490,6230405939,5106518179,3
id-0011,13,50,55834574898,6261422806,5106518179,2
id-0012,0,20,20,5423518099,3985547525,1
id-0012,20,40,85899345960,3482611068,3291529795,4
id-0012,40,60,171798691900,821933748,3342330302,4
id-0012,0,76,76,5423518099,2621488882,1
id-0012,11,40,47244640296,1000618971,3291529795,4
id-0012,23,42,98784247850,4220237224,4265622006,5
id-0012,11,47,47244640303,1000618971,1328948215,4
id-0012,30,75,128849018955,843894459,3273924709,4
id-0012,11,75,47244640331,1000618972,3273924710,3
id-0012,30,76,128849018956,843894460,2621488881,3
id-0012,11,76,47244640332,1000618973,2621488882,2
id-0013,0,20,20,4983263103,1219583551,1
id-0013,20,40,85899345960,2539202784,3915474610,1
id-0013,40,60,171798691900,2318582804,2451809412,1
id-0013,0,75,75,4983263103,5074266984,1
id-0013,23,42,98784247850,2483537015,4015221874,2
id-0013,25,44,107374182444,3290578578,4316582284,2
id-0013,25,45,107374182445,3290578578,5625986760,2
id-0014,20,40,85899345960,2890768862,4082541752,3
id-0014,40,60,171798691900,5604204610,5612993719,8
id-0014,0,48,48,1037990042,946274905,2
id-0014,0,76,76,1037990043,2689352981,1
id-0014,11,38,47244640294,4149776361,5345370775,3
id-0014,21,40,90194313256,5230636099,4082541690,78
id-0014,11,40,47244640296,4149776361,4082541752,3
id-0014,22,48,94489280560,3151751094,946274902,6
id-0014,21,48,90194313264,5230636171,946274902,5
id-0014,23,49,98784247857,81093128,2050741028,4
id-0014,22,49,94489280561,3151751097,2050741028,3
